Table Name,Row Count
ohlc_exp_230321,24200
ohlc_exp_230322,29384
ohlc_exp_230323,28262
ohlc_exp_230324,30866
ohlc_exp_230327,24254
ohlc_exp_230328,17808
ohlc_exp_230329,18141
ohlc_exp_230330,17661
ohlc_exp_230331,20616
ohlc_exp_230403,17023
ohlc_exp_230404,17659
ohlc_exp_230405,16258
ohlc_exp_230406,17108
ohlc_exp_230410,17046
ohlc_exp_230411,15832
ohlc_exp_230412,19767
ohlc_exp_230413,18203
ohlc_exp_230414,19011
ohlc_exp_230417,15896
ohlc_exp_230418,16447
ohlc_exp_230419,15835
ohlc_exp_230420,16410
ohlc_exp_230421,16547
ohlc_exp_230424,15253
ohlc_exp_230425,17684
ohlc_exp_230426,17898
ohlc_exp_230427,18331
ohlc_exp_230428,19967
ohlc_exp_230501,16467
ohlc_exp_230502,20362
ohlc_exp_230503,23629
ohlc_exp_230504,20561
ohlc_exp_230505,19912
ohlc_exp_230508,16064
ohlc_exp_230509,14629
ohlc_exp_230510,18925
ohlc_exp_230511,16683
ohlc_exp_230512,18460
ohlc_exp_230515,16512
ohlc_exp_230516,15200
ohlc_exp_230517,18174
ohlc_exp_230518,17578
ohlc_exp_230519,20419
ohlc_exp_230522,16930
ohlc_exp_230523,17548
ohlc_exp_230524,19433
ohlc_exp_230525,18701
ohlc_exp_230526,20766
ohlc_exp_230530,18089
ohlc_exp_230531,17716
ohlc_exp_230601,18122
ohlc_exp_230602,20749
ohlc_exp_230605,17064
ohlc_exp_230606,15507
ohlc_exp_230607,16509
ohlc_exp_230608,15749
ohlc_exp_230609,17688
ohlc_exp_230612,15690
ohlc_exp_230613,18666
ohlc_exp_230614,22757
ohlc_exp_230615,19869
ohlc_exp_230616,20476
ohlc_exp_230620,16631
ohlc_exp_230621,16083
ohlc_exp_230622,15483
ohlc_exp_230623,16920
ohlc_exp_230626,15574
ohlc_exp_230627,15996
ohlc_exp_230628,15842
ohlc_exp_230629,15454
ohlc_exp_230630,20707
ohlc_exp_230703,7194
ohlc_exp_230705,14441
ohlc_exp_230706,16496
ohlc_exp_230707,17013
ohlc_exp_230710,15015
ohlc_exp_230711,14699
ohlc_exp_230712,17739
ohlc_exp_230713,15120
ohlc_exp_230714,17215
ohlc_exp_230717,14916
ohlc_exp_230718,15383
ohlc_exp_230719,15987
ohlc_exp_230720,15649
ohlc_exp_230721,16553
ohlc_exp_230724,14094
ohlc_exp_230725,13994
ohlc_exp_230726,18458
ohlc_exp_230727,17566
ohlc_exp_230728,18443
ohlc_exp_230731,15256
ohlc_exp_230801,14075
ohlc_exp_230802,18025
ohlc_exp_230803,16570
ohlc_exp_230804,19292
ohlc_exp_230807,16531
ohlc_exp_230808,17901
ohlc_exp_230809,17607
ohlc_exp_230810,21305
ohlc_exp_230811,20053
ohlc_exp_230814,16806
ohlc_exp_230815,17559
ohlc_exp_230816,17991
ohlc_exp_230817,18614
ohlc_exp_230818,21438
ohlc_exp_230821,18250
ohlc_exp_230822,17559
ohlc_exp_230823,18227
ohlc_exp_230824,18999
ohlc_exp_230825,22538
ohlc_exp_230828,17137
ohlc_exp_230829,19102
ohlc_exp_230830,17378
ohlc_exp_230831,16786
ohlc_exp_230901,17126
ohlc_exp_230905,14445
ohlc_exp_230906,16708
ohlc_exp_230907,15821
ohlc_exp_230908,15591
ohlc_exp_230911,14901
ohlc_exp_230912,14978
ohlc_exp_230913,15225
ohlc_exp_230914,15275
ohlc_exp_230915,17898
ohlc_exp_230918,14633
ohlc_exp_230919,15298
ohlc_exp_230920,18638
ohlc_exp_230921,18955
ohlc_exp_230922,19696
ohlc_exp_230925,18592
ohlc_exp_230926,18966
ohlc_exp_230927,20066
ohlc_exp_230928,21064
ohlc_exp_230929,22933
ohlc_exp_231002,18837
ohlc_exp_231003,21023
ohlc_exp_231004,19429
ohlc_exp_231005,18469
ohlc_exp_231006,24434
ohlc_exp_231009,18691
ohlc_exp_231010,19474
ohlc_exp_231011,18288
ohlc_exp_231012,19873
ohlc_exp_231013,22173
ohlc_exp_231016,19333
ohlc_exp_231017,19212
ohlc_exp_231018,19747
ohlc_exp_231019,21509
ohlc_exp_231020,23208
ohlc_exp_231023,20981
ohlc_exp_231024,18760
ohlc_exp_231025,19439
ohlc_exp_231026,21884
ohlc_exp_231027,22245
