Table Name,Row Count
sa_exp_230515,110160
sa_exp_230516,109350
sa_exp_230517,102060
sa_exp_230518,110160
sa_exp_230519,273780
sa_exp_230522,109350
sa_exp_230523,118260
sa_exp_230524,106110
sa_exp_230525,121500
sa_exp_230526,162000
sa_exp_230530,117817
sa_exp_230531,269730
sa_exp_230601,118260
sa_exp_230602,157140
sa_exp_230605,120690
sa_exp_230606,128790
sa_exp_230607,116640
sa_exp_230608,123930
sa_exp_230609,157950
sa_exp_230612,123930
sa_exp_230613,127980
sa_exp_230614,132030
sa_exp_230615,142560
sa_exp_230616,276210
sa_exp_230620,140940
sa_exp_230621,134460
sa_exp_230622,132840
sa_exp_230623,179820
sa_exp_230626,137700
sa_exp_230627,124740
sa_exp_230628,126360
sa_exp_230629,123120
sa_exp_230630,306180
sa_exp_230703,78400
sa_exp_230705,117450
sa_exp_230706,122310
sa_exp_230707,175770
sa_exp_230710,118260
sa_exp_230711,124740
sa_exp_230712,106920
sa_exp_230713,117450
sa_exp_230714,168480
sa_exp_230717,118260
sa_exp_230718,129600
sa_exp_230719,119880
sa_exp_230720,131220
sa_exp_230721,294030
sa_exp_230724,127170
sa_exp_230725,130410
sa_exp_230726,123120
sa_exp_230727,126360
sa_exp_230728,179820
sa_exp_230731,285120
sa_exp_230801,128790
sa_exp_230802,120690
sa_exp_230803,122310
sa_exp_230804,179010
sa_exp_230807,120690
sa_exp_230808,128790
sa_exp_230809,117450
sa_exp_230810,126360
sa_exp_230811,162000
sa_exp_230814,118260
sa_exp_230815,127980
sa_exp_230816,128790
sa_exp_230817,134460
sa_exp_230818,298890
sa_exp_230821,138510
sa_exp_230822,137700
sa_exp_230823,136890
sa_exp_230824,133650
sa_exp_230825,179010
sa_exp_230828,137700
sa_exp_230829,133650
sa_exp_230830,138510
sa_exp_230831,277830
sa_exp_230901,168480
sa_exp_230905,128790
sa_exp_230906,127980
sa_exp_230907,127980
sa_exp_230908,160380
sa_exp_230911,140940
sa_exp_230912,120690
sa_exp_230913,119880
sa_exp_230914,119880
sa_exp_230915,298890
sa_exp_230918,134460
sa_exp_230919,122310
sa_exp_230920,123120
sa_exp_230921,128790
sa_exp_230922,178200
