Table Name,Row Count
ohlc_230620,82161
ohlc_230621,78785
ohlc_230622,67357
ohlc_230623,75957
ohlc_230626,76895
ohlc_230627,80894
ohlc_230628,71650
ohlc_230629,68451
ohlc_230630,95706
ohlc_230703,37524
ohlc_230705,62402
ohlc_230706,81427
ohlc_230707,78401
ohlc_230710,66893
ohlc_230711,64389
ohlc_230712,83778
ohlc_230713,77334
ohlc_230714,75396
ohlc_230717,69390
ohlc_230718,78607
ohlc_230719,76195
ohlc_230720,69925
ohlc_230721,68393
ohlc_230724,64268
ohlc_230725,63851
ohlc_230726,70060
ohlc_230727,90563
ohlc_230728,78360
ohlc_230731,66476
ohlc_230801,60857
ohlc_230802,90927
ohlc_230803,75950
ohlc_230804,89213
ohlc_230807,75041
ohlc_230808,77054
ohlc_230809,78781
ohlc_230810,88747
ohlc_230811,78078
ohlc_230814,74881
ohlc_230815,78295
ohlc_230816,85003
ohlc_230817,87964
ohlc_230818,91817
ohlc_230821,83464
ohlc_230822,69607
ohlc_230823,79629
ohlc_230824,82612
ohlc_230825,90162
ohlc_230828,77044
ohlc_230829,96082
ohlc_230830,80981
ohlc_230831,69351
ohlc_230901,71301
ohlc_230905,67077
ohlc_230906,85150
ohlc_230907,65282
ohlc_230908,68679
ohlc_230911,66789
ohlc_230912,64257
ohlc_230913,66421
ohlc_230914,71705
ohlc_230915,85871
ohlc_230918,65500
ohlc_230919,73308
ohlc_230920,75056
ohlc_230921,96655
ohlc_230922,89014
ohlc_230925,82824
ohlc_230926,94223
ohlc_230927,97326
ohlc_230928,81727
ohlc_230929,92392
ohlc_231002,86268
ohlc_231003,96112
ohlc_231004,84717
ohlc_231005,73915
ohlc_231006,105153
ohlc_231009,87037
ohlc_231010,95485
ohlc_231011,78084
ohlc_231012,86779
ohlc_231013,94245
ohlc_231016,82855
ohlc_231017,80288
ohlc_231018,89211
ohlc_231019,93989
ohlc_231020,104953
ohlc_231023,97912
ohlc_231024,80122
ohlc_231025,92938
ohlc_231026,101940
ohlc_231027,98277
ohlc_231030,88633
ohlc_231031,78718
ohlc_231101,90980
ohlc_231102,96596
ohlc_231103,99411
ohlc_231106,77261
ohlc_231107,75845
ohlc_231108,73682
ohlc_231109,78430
ohlc_231110,94638
ohlc_231113,77983
ohlc_231114,105530
ohlc_231115,77946
ohlc_231116,68432
ohlc_231117,70073
ohlc_231120,83542
ohlc_231121,61937
ohlc_231122,68613
ohlc_231124,36756
ohlc_231127,64187
ohlc_231128,66393
ohlc_231129,72604
ohlc_231130,67927
ohlc_231201,84994
ohlc_231204,76262
ohlc_231205,64271
ohlc_231206,70439
ohlc_231207,66678
ohlc_231208,82535
ohlc_231211,74813
ohlc_231212,72891
ohlc_231213,93028
ohlc_231214,93932
ohlc_231215,77770
ohlc_231218,75100
ohlc_231219,70347
ohlc_231220,86530
ohlc_231221,77080
ohlc_231222,73089
ohlc_231226,64365
ohlc_231227,67222
ohlc_231228,58816
ohlc_231229,75690
ohlc_240102,80164
ohlc_240103,76469
ohlc_240104,68434
ohlc_240105,82139
ohlc_240108,88385
ohlc_240109,68760
ohlc_240110,76921
ohlc_240111,80289
ohlc_240112,74611
ohlc_240116,78781
ohlc_240117,80744
ohlc_240118,77515
ohlc_240119,101336
ohlc_240122,82883
ohlc_240123,67178
ohlc_240124,87997
ohlc_240125,69006
ohlc_240126,73810
ohlc_240129,75052
ohlc_240130,66628
ohlc_240131,91548
ohlc_240201,81331
ohlc_240202,100027
ohlc_240205,84042
ohlc_240206,67340
ohlc_240207,84344
ohlc_240208,61337
ohlc_240209,80677
ohlc_240212,82407
ohlc_240213,103089
ohlc_240214,80236
ohlc_240215,74393
ohlc_240216,81087
ohlc_240220,85671
ohlc_240221,75130
ohlc_240222,99088
ohlc_240223,82165
ohlc_240226,71730
ohlc_240227,65111
ohlc_240228,66092
ohlc_240229,73346
ohlc_240301,91029
ohlc_240304,71879
ohlc_240305,92996
ohlc_240306,82825
ohlc_240307,80642
ohlc_240308,99266
ohlc_240311,79816
ohlc_240312,87993
ohlc_240313,69241
ohlc_240314,82644
ohlc_240315,85606
ohlc_240318,76415
ohlc_240319,71885
ohlc_240320,88547
ohlc_240321,79597
ohlc_240322,68919
ohlc_240325,65900
ohlc_240326,60451
ohlc_240327,67771
ohlc_240328,69866
ohlc_240401,72155
ohlc_240402,77717
ohlc_240403,70040
ohlc_240404,94312
ohlc_240405,95625
ohlc_240408,73223
ohlc_240409,82161
ohlc_240410,94839
ohlc_240411,87509
ohlc_240412,110173
ohlc_240415,116935
ohlc_240416,93398
ohlc_240417,99296
ohlc_240418,86312
ohlc_240419,105836
ohlc_240422,100210
ohlc_240423,86364
ohlc_240424,81572
ohlc_240425,90487
ohlc_240426,85729
ohlc_240429,76256
ohlc_240430,89922
ohlc_240501,94812
ohlc_240502,79971
ohlc_240503,90570
ohlc_240506,79359
ohlc_240507,73751
ohlc_240508,66254
ohlc_240509,70402
ohlc_240510,75162
ohlc_240513,63843
ohlc_240514,68252
ohlc_240515,92269
ohlc_240516,69369
ohlc_240517,67053
ohlc_240520,68824
ohlc_240521,55702
ohlc_240522,68510
ohlc_240523,87234
ohlc_240524,71264
ohlc_240528,67918
ohlc_240529,70277
ohlc_240530,72064
ohlc_240531,93544
ohlc_240603,87733
ohlc_240604,74809
ohlc_240605,90184
ohlc_240606,68845
ohlc_240607,81320
ohlc_240610,68962
ohlc_240611,70641
ohlc_240612,98672
ohlc_240613,72523
ohlc_240614,71525
ohlc_240617,89589
ohlc_240618,71915
ohlc_240620,80390
ohlc_240621,76477
ohlc_240624,74258
ohlc_240625,62103
ohlc_240626,62977
ohlc_240627,61117
ohlc_240628,85435
ohlc_240701,73182
ohlc_240702,69569
ohlc_240703,46183
ohlc_240705,84701
ohlc_240708,69141
ohlc_240709,60509
ohlc_240710,80370
ohlc_240711,82368
ohlc_240712,92970
ohlc_240715,82564
ohlc_240716,69749
ohlc_240717,85813
ohlc_240718,97357
ohlc_240719,94838
ohlc_240722,88393
ohlc_240723,69609
ohlc_240724,114224
ohlc_240725,88737
ohlc_240726,90193
ohlc_240729,76614
ohlc_240730,87087
ohlc_240731,93992
ohlc_240801,111332
ohlc_240802,126670
ohlc_240805,131883
ohlc_240806,107784
ohlc_240807,108463
ohlc_240808,96548
ohlc_240809,89213
ohlc_240812,86039
ohlc_240813,89677
ohlc_240814,85015
ohlc_240815,91344
ohlc_240816,78790
ohlc_240819,82659
ohlc_240820,73976
ohlc_240821,75993
ohlc_240822,83786
ohlc_240823,93403
ohlc_240826,75837
ohlc_240827,63035
ohlc_240828,79685
ohlc_240829,78594
ohlc_240830,81476
ohlc_240903,103995
ohlc_240904,86819
ohlc_240905,83705
ohlc_240906,117022
ohlc_240909,88093
ohlc_240910,77942
ohlc_240911,109717
ohlc_240912,90348
ohlc_240913,86219
ohlc_240916,72198
ohlc_240917,80367
ohlc_240918,92208
ohlc_240919,91368
ohlc_240920,83563
ohlc_240923,73678
ohlc_240924,70644
ohlc_240925,68725
ohlc_240926,72641
ohlc_240927,76560
ohlc_240930,81559
ohlc_241001,98528
ohlc_241002,78970
ohlc_241003,79714
ohlc_241004,94073
ohlc_241007,87167
ohlc_241008,75438
ohlc_241009,86353
ohlc_241010,75123
ohlc_241011,92017
ohlc_241014,86366
ohlc_241015,80426
ohlc_241016,71254
ohlc_241017,72697
ohlc_241018,81961
ohlc_241021,78779
ohlc_241022,71342
ohlc_241023,99888
ohlc_241024,73330
ohlc_241025,98730
ohlc_241028,73930
ohlc_241029,70635
ohlc_241030,72312
ohlc_241031,100344
ohlc_241101,90397
ohlc_241104,80369
ohlc_241105,78218
ohlc_241106,100299
ohlc_241107,83233
ohlc_241108,85634
ohlc_241111,74358
ohlc_241112,74848
ohlc_241113,76335
ohlc_241114,77499
ohlc_241115,113135
ohlc_241118,77733
ohlc_241119,80909
ohlc_241120,88095
ohlc_241121,89999
ohlc_241122,85690
ohlc_241125,84612
ohlc_241126,70417
ohlc_241127,74005
ohlc_241129,53367
ohlc_241202,73851
ohlc_241203,66512
ohlc_241204,74748
ohlc_241205,68469
ohlc_241206,82785
ohlc_241209,79420
ohlc_241210,69606
ohlc_241211,72633
ohlc_241212,66986
ohlc_241213,84004
ohlc_241216,71449
ohlc_241217,70632
ohlc_241218,109663
ohlc_241219,111310
ohlc_241220,116044
ohlc_241223,89476
ohlc_241224,58358
ohlc_241226,76329
ohlc_241227,105593
ohlc_241230,101121
ohlc_241231,88373
ohlc_250102,99949
ohlc_250103,90477
ohlc_250106,99798
ohlc_250107,102112
ohlc_250108,103286
ohlc_250110,114451
ohlc_250113,96606
ohlc_250114,93377
ohlc_250115,98109
ohlc_250116,79188
ohlc_250117,94417
ohlc_250121,91825
ohlc_250122,89929
ohlc_250123,73971
ohlc_250124,93834
ohlc_250127,110591
ohlc_250128,88916
ohlc_250129,91239
ohlc_250130,85545
ohlc_250131,115143
ohlc_250203,121635
ohlc_250204,85614
ohlc_250205,85866
ohlc_250206,78470
ohlc_250207,114983
ohlc_250210,80598
ohlc_250211,73889
ohlc_250212,91999
ohlc_250213,91771
ohlc_250214,79550
ohlc_250218,78786
ohlc_250219,81427
ohlc_250220,87683
ohlc_250221,135502
ohlc_250224,107483
ohlc_250225,118961
ohlc_250226,103448
ohlc_250227,121622
ohlc_250228,126168
ohlc_250303,130058
ohlc_250304,147869
ohlc_250305,125607
ohlc_250306,132144
ohlc_250307,137696
ohlc_250310,151713
ohlc_250311,138294
ohlc_250312,116970
ohlc_250313,118050
ohlc_250314,113336
ohlc_250317,104927
ohlc_250318,96224
ohlc_250319,105870
ohlc_250320,97118
ohlc_250321,102592
ohlc_250324,104959
ohlc_250325,85150
ohlc_250326,105475
ohlc_250327,95881
ohlc_250328,134433
ohlc_250331,131410
ohlc_250401,110537
ohlc_250402,118036
ohlc_250403,142424
ohlc_250404,168114
ohlc_250407,164477
ohlc_250408,168315
ohlc_250409,194696
ohlc_250410,178435
ohlc_250411,150382
ohlc_250414,128417
ohlc_250415,102981
ohlc_250416,123079
ohlc_250417,107580
ohlc_250421,127704
ohlc_250422,124345
ohlc_250423,136908
ohlc_250424,118615
ohlc_250425,113597
ohlc_250428,109457
ohlc_250429,102937
ohlc_250430,120084
ohlc_250501,109923
ohlc_250502,110399
ohlc_250505,93615
ohlc_250506,93515
ohlc_250507,102021
ohlc_250508,108381
ohlc_250509,95292
ohlc_250512,110102
ohlc_250513,107886
ohlc_250514,91042
ohlc_250515,93631
ohlc_250516,101639
ohlc_250519,99806
ohlc_250520,88126
ohlc_250521,114685
ohlc_250522,94229
ohlc_250523,104750
ohlc_250527,99509
ohlc_250528,87657
ohlc_250529,95139
ohlc_250530,109923
ohlc_250602,97051
ohlc_250603,94726
ohlc_250604,83101
ohlc_250605,98638
ohlc_250606,98281
ohlc_250609,84616
ohlc_250610,86022
ohlc_250611,102487
ohlc_250612,89060
ohlc_250613,121533
ohlc_250616,99997
ohlc_250617,97307
ohlc_250618,93689
ohlc_250620,115283
ohlc_250623,120512
ohlc_250624,110604
ohlc_250625,88271
ohlc_250626,97961
ohlc_250627,117867
ohlc_250630,97664
